date,tsurf,t1000,active_year,day_of_the_year
2017-01-05,15.664777755737305,13.707444190979004,2017,8
2017-01-12,15.576844215393066,13.706366539001465,2017,15
2017-01-19,15.552759170532227,13.710066795349121,2017,22
2017-01-26,15.570536613464355,13.722905158996582,2017,29
2017-02-02,15.586163520812988,13.73158073425293,2017,36
2017-02-09,15.650172233581543,13.744900703430176,2017,43
2017-02-16,15.7604398727417,13.760271072387695,2017,50
2017-02-23,15.880417823791504,13.76459789276123,2017,57
2017-03-02,16.080591201782227,13.778390884399414,2017,64
2017-03-09,16.258289337158203,13.776957511901855,2017,71
2017-03-16,16.487621307373047,13.772989273071289,2017,78
2017-03-23,16.77442741394043,13.761962890625,2017,85
2017-03-30,17.112619400024414,13.7438383102417,2017,92
2017-04-06,17.550212860107422,13.729231834411621,2017,99
2017-04-13,18.13715171813965,13.711709022521973,2017,106
2017-04-20,18.751728057861328,13.678694725036621,2017,113
2017-04-27,19.546735763549805,13.6577730178833,2017,120
2017-05-04,20.470870971679688,13.626946449279785,2017,127
2017-05-11,21.355138778686523,13.610569953918457,2017,134
2017-05-18,22.1083984375,13.618999481201172,2017,141
2017-05-25,22.83283233642578,13.609692573547363,2017,148
2017-06-01,23.567153930664062,13.595534324645996,2017,155
2017-06-08,24.16123390197754,13.637967109680176,2017,162
2017-06-15,24.68380355834961,13.653237342834473,2017,169
2017-06-22,25.18332290649414,13.663867950439453,2017,176
2017-06-29,25.50960350036621,13.678853034973145,2017,183
2017-07-06,25.71599769592285,13.689149856567383,2017,190
2017-07-13,25.903762817382812,13.685853004455566,2017,197
2017-07-20,25.96693229675293,13.678929328918457,2017,204
2017-07-27,25.861202239990234,13.644756317138672,2017,211
2017-08-03,25.689069747924805,13.62713623046875,2017,218
2017-08-10,25.311288833618164,13.604328155517578,2017,225
2017-08-17,24.910842895507812,13.588021278381348,2017,232
2017-08-24,24.421335220336914,13.578852653503418,2017,239
2017-08-31,23.8824520111084,13.570704460144043,2017,246
2017-09-07,23.304851531982422,13.580787658691406,2017,253
2017-09-14,22.729032516479492,13.578375816345215,2017,260
2017-09-21,22.13312339782715,13.547907829284668,2017,267
2017-09-28,21.498184204101562,13.532377243041992,2017,274
2017-10-05,20.903377532958984,13.534692764282227,2017,281
2017-10-12,20.27716636657715,13.525680541992188,2017,288
2017-10-19,19.578567504882812,13.513182640075684,2017,295
2017-10-26,18.8444766998291,13.50180435180664,2017,302
2017-11-02,18.25275993347168,13.494397163391113,2017,309
2017-11-09,17.767120361328125,13.50003719329834,2017,316
2017-11-16,17.258787155151367,13.510400772094727,2017,323
2017-11-23,16.867586135864258,13.506309509277344,2017,330
2017-11-30,16.471782684326172,13.488851547241211,2017,337
2017-12-07,16.12810516357422,13.486397743225098,2017,344
2017-12-14,15.841001510620117,13.486178398132324,2017,351
2017-12-21,15.576825141906738,13.478538513183594,2017,358
2017-12-28,15.345327377319336,13.475284576416016,2017,365
2018-01-04,15.205769538879395,13.475622177124023,2018,7
2018-01-11,14.984164237976074,13.46152400970459,2018,14
2018-01-18,14.88891887664795,13.471858024597168,2018,21
2018-01-25,14.835566520690918,13.46711254119873,2018,28
2018-02-01,14.819504737854004,13.465569496154785,2018,35
2018-02-08,14.797616958618164,13.456342697143555,2018,42
2018-02-15,14.557076454162598,13.401525497436523,2018,49
2018-02-22,14.587122917175293,13.404924392700195,2018,56
2018-03-01,14.709254264831543,13.403902053833008,2018,63
2018-03-08,14.94428539276123,13.403792381286621,2018,70
2018-03-15,15.272729873657227,13.41824722290039,2018,77
2018-03-22,15.609234809875488,13.418525695800781,2018,84
2018-03-29,16.088483810424805,13.438260078430176,2018,91
2018-04-05,17.016921997070312,13.52538776397705,2018,98
2018-04-12,17.89931297302246,13.55380630493164,2018,105
2018-04-19,18.74519157409668,13.578243255615234,2018,112
2018-04-26,19.600685119628906,13.5995454788208,2018,119
2018-05-03,20.525278091430664,13.604572296142578,2018,126
2018-05-10,21.86661148071289,13.61044692993164,2018,133
2018-05-17,22.638774871826172,13.612316131591797,2018,140
2018-05-24,23.124832153320312,13.621251106262207,2018,147
2018-05-31,23.657451629638672,13.609907150268555,2018,154
2018-06-07,24.08968162536621,13.609107971191406,2018,161
2018-06-14,24.514158248901367,13.606630325317383,2018,168
2018-06-21,24.9964542388916,13.599347114562988,2018,175
2018-06-28,25.559106826782227,13.597298622131348,2018,182
2018-07-05,26.38364601135254,13.597538948059082,2018,189
2018-07-12,26.638280868530273,13.588258743286133,2018,196
2018-07-19,26.725759506225586,13.581387519836426,2018,203
2018-07-26,26.81073570251465,13.558669090270996,2018,210
2018-08-02,26.861610412597656,13.564745903015137,2018,217
2018-08-09,26.772369384765625,13.56560230255127,2018,224
2018-08-16,26.308807373046875,13.565787315368652,2018,231
2018-08-23,25.702733993530273,13.580936431884766,2018,238
2018-08-30,25.110145568847656,13.596756935119629,2018,245
2018-09-06,24.650373458862305,13.622379302978516,2018,252
2018-09-13,24.03251075744629,13.648894309997559,2018,259
2018-09-20,23.626529693603516,13.649428367614746,2018,266
2018-09-27,23.148195266723633,13.652204513549805,2018,273
2018-10-04,22.79560661315918,13.652521133422852,2018,280
2018-10-11,22.42856788635254,13.65169906616211,2018,287
2018-10-18,22.01302146911621,13.647428512573242,2018,294
2018-10-25,21.299179077148438,13.635971069335938,2018,301
2018-11-01,20.671396255493164,13.62220573425293,2018,308
2018-11-08,19.969301223754883,13.616960525512695,2018,315
2018-11-15,19.20347023010254,13.611343383789062,2018,322
2018-11-22,18.419387817382812,13.609363555908203,2018,329
2018-11-29,17.641246795654297,13.601627349853516,2018,336
2018-12-06,17.04973602294922,13.599132537841797,2018,343
2018-12-13,16.39178466796875,13.59720516204834,2018,350
2018-12-20,16.01329803466797,13.602991104125977,2018,357
2018-12-27,15.746699333190918,13.604362487792969,2018,364
2019-01-03,15.530384063720703,13.608619689941406,2019,6
2019-01-10,15.340306282043457,13.613402366638184,2019,13
2019-01-17,15.21342658996582,13.618949890136719,2019,20
2019-01-24,15.229202270507812,13.621275901794434,2019,27
2019-01-31,15.30679988861084,13.62730884552002,2019,34
2019-02-07,15.34928035736084,13.627970695495605,2019,41
2019-02-14,15.412354469299316,13.626655578613281,2019,48
2019-02-21,15.531755447387695,13.628616333007812,2019,55
2019-02-28,15.641040802001953,13.629779815673828,2019,62
2019-03-07,15.833357810974121,13.62787914276123,2019,69
2019-03-14,16.035507202148438,13.632147789001465,2019,76
2019-03-21,16.2311954498291,13.6384916305542,2019,83
2019-03-28,16.408668518066406,13.641546249389648,2019,90
2019-04-04,16.711442947387695,13.654029846191406,2019,97
2019-04-11,17.065370559692383,13.652416229248047,2019,104
2019-04-18,17.58435821533203,13.6373872756958,2019,111
2019-04-25,18.294946670532227,13.618868827819824,2019,118
2019-05-02,18.9800968170166,13.589682579040527,2019,125
2019-05-09,19.806236267089844,13.56743335723877,2019,132
2019-05-16,20.74393653869629,13.55235767364502,2019,139
2019-05-23,21.704627990722656,13.532938003540039,2019,146
2019-05-30,22.661142349243164,13.521811485290527,2019,153
2019-06-06,23.551843643188477,13.510485649108887,2019,160
